Name,Email,Faculty,PasswordHash
CHERN,YCHERN@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
KOH,KOH1@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
BRANDON,BR015@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CALVIN,CT113@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CHAN,YCN019@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
DENISE,DL007@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
DONG,DON84@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
ERNEST,ELI34@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
LEE,LE51@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
LIU,SL22@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
RAWAL,AKY013@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
